"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"Egflam",180.751951874221,0.708840074234695,0.187041564662174,1.06825611507919e-05,0.000206132381943444,"Egflam","Yes",NA
"Smim6",3.00928878591486,3.33170684412853,0.935856864296311,1.07002258735829e-05,0.000206279916208988,"Smim6","Yes",NA
"0610043K17Rik",27.9245292271537,1.00891438993057,0.275787599696542,1.07796256893324e-05,0.000207616195806983,"0610043K17Rik","Yes",NA
"4930581F22Rik",123.850891623098,0.775928351989497,0.207809632718202,1.08706572747274e-05,0.000209173796849871,"4930581F22Rik","Yes",NA
"Hdac11",219.13096970911,0.801952156922473,0.217238164156024,1.09703350800446e-05,0.000210894704914135,"Hdac11","Yes",NA
"Bend3",315.637353725273,-0.340412641329425,0.0837119169202542,1.10266789449276e-05,0.000211780123877905,"Bend3","Yes",NA
"Ccl2",3670.18743269564,-0.912549738295925,0.24820077041125,1.10563367127346e-05,0.000212151832785174,"Ccl2","Yes",NA
"Ttc38",1170.35388035588,0.287224390789127,0.0705429397620269,1.1086244112967e-05,0.000212527635048303,"Ttc38","Yes",NA
"Aurka",48.2111339487158,-0.620638365979841,0.162314880137105,1.11455254487315e-05,0.000213465324152496,"Aurka","Yes",NA
"Lrrc9",141.574352972527,-0.470172189080052,0.119959811252148,1.11819842030108e-05,0.000213964565758168,"Lrrc9","Yes",NA
"Sec61g",149.042416280322,-0.441594641923363,0.111930431317096,1.13275902263186e-05,0.000216549447697003,"Sec61g","Yes",NA
"Plek",133.833896167272,0.84082054347928,0.229474624815281,1.1351708434581e-05,0.000216809206827076,"Plek","Yes",NA
"Atg13",1917.21861380341,-0.1428356005343,0.0330139649671876,1.13880877962322e-05,0.000217302446373146,"Atg13","Yes",NA
"Clmn",3281.13337209293,0.513046503743445,0.131899027638587,1.14571811815302e-05,0.000218014698102148,"Clmn","Yes",NA
"Ifi27l2a",16211.2895234615,0.573790124013533,0.150166529876627,1.14497291894124e-05,0.000218014698102148,"Ifi27l2a","Yes",NA
"Rxra",9095.06924158934,0.245750772479924,0.0611240292587211,1.14452188168161e-05,0.000218014698102148,"Rxra","Yes",NA
"Gm45221",203.091262337801,0.537861407287524,0.138983465802083,1.15514476050637e-05,0.00021960549837549,"Gm45221","Yes",NA
"Zbtb12",293.353562284806,0.465219865575698,0.118793669910407,1.15841723655842e-05,0.000220024469404995,"Zbtb12","Yes",NA
"Sh3pxd2b",791.534142285374,-0.650521296193443,0.173447325078992,1.16071346167149e-05,0.000220257414399578,"Sh3pxd2b","Yes",NA
"Gm5475",5.04975029015589,1.8286766728642,0.499277952752063,1.16390112734714e-05,0.000220658934723299,"Gm5475","Yes",NA
"Rgr",10.3409033501077,-2.33699737386877,0.731692722050163,1.16937495002053e-05,0.000221289162187249,"Rgr","Yes",NA
"Rps16-ps2",604.505924012776,0.325955873253709,0.0801747842671814,1.1686607389695e-05,0.000221289162187249,"Rps16-ps2","Yes",NA
