,baseMean,log2FoldChange,lfcSE,pvalue,padj,Genes,Sig,Labl
Hdac7,563.3737353,-0.333955725,0.291682578,0.003374685,0.377003747,Hdac7,No,NA
Eps8,97.28027097,-0.29929605,0.247833599,0.00352419,0.387684437,Eps8,No,NA
Pcdhgb7,142.8445809,0.25943466,0.234060382,0.003608184,0.387684437,Pcdhgb7,No,NA
Ppp1r18os,42.10582871,-1.38E-05,0.001442697,0.003563048,0.387684437,Ppp1r18os,No,NA
Ptgs1,40.79321381,-0.432030368,0.414490238,0.003548498,0.387684437,Ptgs1,No,NA
Rcsd1,117.046772,-0.387343416,0.357973219,0.00360187,0.387684437,Rcsd1,No,NA
Wnt5b,52.89441162,-0.364972033,0.322496662,0.00353449,0.387684437,Wnt5b,No,NA
Zfp593,161.8948928,0.209268771,0.191658297,0.003634773,0.388069504,Zfp593,No,NA
Gm7536,2524.11556,4.97E-05,0.001442719,0.003660494,0.388357668,Gm7536,No,NA
Gm22482,51.37841731,0.407132672,0.381478774,0.003708779,0.390854454,Gm22482,No,NA
Rpl38,804.6855833,0.142320541,0.14808444,0.003730367,0.390854454,Rpl38,No,NA
B930018H19Rik,12.17564186,0.698667495,0.614870344,0.003847897,0.396292553,B930018H19Rik,No,NA
Carmn,166.8816182,-0.197357064,0.238998754,0.00426931,0.396292553,Carmn,No,NA
Cxcl14,20.33472548,-8.47E-06,0.001442696,0.003868269,0.396292553,Cxcl14,No,NA
Daam2,93.40880852,-1.45E-05,0.001442697,0.003944968,0.396292553,Daam2,No,NA
Gimap4,86.17876839,-0.39239019,0.505456356,0.004195054,0.396292553,Gimap4,No,NA
Gm42860,791.7200496,-2.31E-05,0.001442698,0.004098651,0.396292553,Gm42860,No,NA
Ly6a,350.9432968,-0.229011038,0.278374737,0.004222782,0.396292553,Ly6a,No,NA
Marco,18.35248279,0.766902149,0.834704516,0.00399514,0.396292553,Marco,No,NA
Mef2c,198.5372358,-0.248449322,0.301650127,0.00425156,0.396292553,Mef2c,No,NA
Myzap,42.20292176,-1.12E-05,0.001442696,0.004148165,0.396292553,Myzap,No,NA
Nes,432.7993817,-0.334548037,0.363349674,0.003993347,0.396292553,Nes,No,NA
Nxpe4,81.13478008,-0.275428693,0.319192361,0.004263837,0.396292553,Nxpe4,No,NA
Pdgfrb,389.738369,-0.318257264,0.356328155,0.004039453,0.396292553,Pdgfrb,No,NA
Pex2,1044.404684,6.22E-05,0.001442723,0.003914175,0.396292553,Pex2,No,NA
Phldb2,136.7968187,-2.03E-05,0.001442697,0.004299101,0.396292553,Phldb2,No,NA
Rpl14,6455.257541,5.60E-05,0.001442714,0.00407354,0.396292553,Rpl14,No,NA
Rpl23,4992.245572,0.076959138,0.053027209,0.00411744,0.396292553,Rpl23,No,NA
Rpl6,9685.165731,0.07574409,0.078884781,0.004049812,0.396292553,Rpl6,No,NA
