"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"Snx31",1.50940063061638,-8.94943637319446e-07,0.00144269378815735,0.366273467971723,NA,"Snx31",NA,NA
"Snx32",194.657783721984,-4.35551251545805e-06,0.00144259714113747,0.463027256940107,0.970641740612449,"Snx32","No",NA
"Snx33",749.51881004261,1.25608537933156e-05,0.00144265677199504,0.0684895966307054,0.959528224506864,"Snx33","No",NA
"Snx4",1465.21430055385,-5.21226807318094e-06,0.00144251939175986,0.627645996729807,0.975794708309648,"Snx4","No",NA
"Snx5",2209.77457154268,0.1311686349709,0.0818797815317369,0.0021621262068497,0.557596003281434,"Snx5","No",NA
"Snx6",1154.25189634704,1.59099531271136e-05,0.00144243773520349,0.280750137749378,0.96988964270494,"Snx6","No",NA
"Snx7",865.848294113196,4.53420287405192e-06,0.00144264694936101,0.29851996370719,0.96988964270494,"Snx7","No",NA
"Snx8",431.449556447005,-6.71351778310945e-06,0.00144258469679442,0.466319198221461,0.970641740612449,"Snx8","No",NA
"Snx9",2616.07971438225,-6.21787567095442e-06,0.00144234266970766,0.69878647856364,0.98167241788083,"Snx9","No",NA
"Soat1",110.911014375637,2.9405675006453e-06,0.00144263213262297,0.667070278681033,0.979019385276099,"Soat1","No",NA
"Soat2",2.5287432071294,-9.21059208985088e-08,0.00144269380094212,0.918619732880534,NA,"Soat2",NA,NA
"Sobp",3.22280998591078,3.60351932327947e-07,0.00144269144664625,0.824095981934748,NA,"Sobp",NA,NA
"Socs1",591.053102801282,2.294617188195e-06,0.0014426697366825,0.597831175231483,0.975794708309648,"Socs1","No",NA
"Socs2",281.427916115869,-7.68335201860676e-08,0.00144268929446762,0.956736801213918,0.994436775759549,"Socs2","No",NA
"Socs3",18716.3530810134,7.15791237883126e-05,0.00144352897556089,0.51858204002329,0.973689010023076,"Socs3","No",NA
"Socs4",596.564506714496,-7.88573556119142e-07,0.00144247478843508,0.778604232425362,0.989380836054069,"Socs4","No",NA
"Socs5",491.64692114526,1.44058908554041e-05,0.00144258092411647,0.166318901812017,0.96988964270494,"Socs5","No",NA
